record_id,formula_version,cpp_cgp_nm,cell_height_nm,break_extra_cpp,sram_bitcell_um2,logic_density_calculated_mtr_mm2,sram_ideal_mb_mm2,sram_density_compare_mb_mm2,sram_density_compare_basis,calculation_inputs,assumption_note,is_estimated,review_required,review_reason,created_at,updated_at
tsmc_n4_n4_hd_h206g49_011,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,49,206,0,0.021,145.9961,47.619,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,"{""cpp_cgp_nm"": 49.0, ""cell_height_nm"": 206.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 31.8, ""diffusion_break_model"": ""SDB/CPODE""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,False,,2026-05-29,2026-05-29
tsmc_n4_n4_hp_h274g55_012,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,55,274,0,0.025,97.7893,40,26.7,reported/compiled HP/HC SRAM density; not bitcell ideal,"{""cpp_cgp_nm"": 55.0, ""cell_height_nm"": 274.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.025, ""sram_density_compare_mb_mm2"": 26.7, ""diffusion_break_model"": ""SDB/CPODE""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",True,True,low_sram_compare_confidence,2026-05-29,2026-05-29
tsmc_n4p_n4p_hd_assumed_n4_compatible_hd_geometry_013,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,49,206,0,0.021,145.9961,47.619,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,"{""cpp_cgp_nm"": 49.0, ""cell_height_nm"": 206.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 31.8, ""diffusion_break_model"": ""SDB/CPODE""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",True,False,,2026-05-29,2026-05-29
tsmc_n4x_n4x_hpc_hpc_beol_stack_optimized_library_not_public_014,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
tsmc_n4c_n4c_cost_optimized_cost_optimized_public_library_not_found_015,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
tsmc_n3b_n3b_hd_initial_n3_hd_finfet_016,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,45,,0,0.0199,,50.2513,33.55,reported/compiled SRAM macro-equivalent density; not bitcell ideal,"{""cpp_cgp_nm"": 45.0, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0199, ""sram_density_compare_mb_mm2"": 33.55, ""diffusion_break_model"": """"}","Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
tsmc_n3e_n3e_2_1_finflex_5_5t_ulp_uhd_48nm_poly_017,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,48,143,0,0.021,214.6976,47.619,31.8,reported/compiled N3E SRAM macro-equivalent density; not bitcell ideal,"{""cpp_cgp_nm"": 48.0, ""cell_height_nm"": 143.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 31.8, ""diffusion_break_model"": ""SDB/CPODE""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,False,,2026-05-29,2026-05-29
tsmc_n3e_n3e_2_2_finflex_6_5t_hp_uhd_48nm_poly_option_018,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,48,169,0,0.021,181.6672,47.619,31.8,reported/compiled N3E SRAM macro-equivalent density; not bitcell ideal,"{""cpp_cgp_nm"": 48.0, ""cell_height_nm"": 169.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 31.8, ""diffusion_break_model"": ""SDB/CPODE""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,False,,2026-05-29,2026-05-29
tsmc_n3e_n3e_3_2_finflex_7_5t_uhp_hd_54nm_poly_019,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,221,0,0.021,123.4862,47.619,31.8,reported/compiled N3E SRAM macro-equivalent density; not bitcell ideal,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 221.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 31.8, ""diffusion_break_model"": ""SDB/CPODE""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,False,,2026-05-29,2026-05-29
tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,0.021,,47.619,,no public N3P SRAM macro/array density found; do not reuse N3E unless explicitly modeling,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,True,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
tsmc_n3x_n3x_hpc_x_public_library_not_found_021,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
tsmc_n2_n2_1st_gen_nanosheet_standard_cell_geometry_not_public_022,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,0.021,,47.619,38.1,reported SRAM macro/array bit density from TSMC Research; not 1/bitcell ideal,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 38.1, ""diffusion_break_model"": """"}","Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",True,False,,2026-05-29,2026-05-29
tsmc_n2p_n2p_nanosheet_extension_standard_cell_geometry_not_public_023,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,no public N2P SRAM macro density found; not inferred from N2,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
tsmc_a16_a16_nanosheet_super_power_rail_geometry_not_public_024,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
intel_foundry_intel_14nm_14nm_14nm_7_67t_dense_logic_025,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,70,399,1,0.0588,44.3967,17.0068,,,"{""cpp_cgp_nm"": 70.0, ""cell_height_nm"": 399.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.0588, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""DDB approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
intel_foundry_intel_10nm_intel_10nm_hd_h272g54_class_026,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,272,0,0.0312,100.3325,32.0513,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 272.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0312, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB/SAQP approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
intel_foundry_intel_7_intel_7_hp_observed_h408g60_027,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,60,408,0,,60.1995,,,,"{""cpp_cgp_nm"": 60.0, ""cell_height_nm"": 408.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
intel_foundry_intel_7_intel_7_dense_library_available_h272g54_dense_cell_not_necessarily_u_028,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,272,0,,100.3325,,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 272.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
intel_foundry_intel_4_intel_4_hp_h240g50_029,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,50,240,0,0.024,122.807,41.6667,27.825,reported/compiled Intel 4 SRAM density; not bitcell ideal,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.024, ""sram_density_compare_mb_mm2"": 27.825, ""diffusion_break_model"": ""SDB""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,False,,2026-05-29,2026-05-29
intel_foundry_intel_3_intel_3_hp_h240g50_030,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,50,240,0,0.024,122.807,41.6667,27.825,proxy from Intel 4 compiled SRAM density; no direct Intel 3 macro density found,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.024, ""sram_density_compare_mb_mm2"": 27.825, ""diffusion_break_model"": ""SDB""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",True,True,low_sram_compare_confidence,2026-05-29,2026-05-29
intel_foundry_intel_3_intel_3_hd_h210g50_031,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,50,210,0,0.024,140.3509,41.6667,27.825,proxy from Intel 4 compiled SRAM density; no direct Intel 3 macro density found,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 210.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.024, ""sram_density_compare_mb_mm2"": 27.825, ""diffusion_break_model"": ""SDB""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",True,True,low_sram_compare_confidence,2026-05-29,2026-05-29
intel_foundry_intel_18a_18a_hp_180ch_hp_library_032,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,50,180,0,0.023,163.7427,43.4783,,"HCC bitcell area public, but no comparable macro/array bit density found for HP row","{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 180.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.023, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB/PowerVia approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
intel_foundry_intel_18a_18a_hd_160ch_hd_library_033,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,50,160,0,0.021,184.2105,47.619,34.3,high-volume macro implementation density; array maximum 38.1Mb/mm2 noted separately,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 160.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021, ""sram_density_compare_mb_mm2"": 34.3, ""diffusion_break_model"": ""SDB/PowerVia approximation""}","Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM comparison uses reported/compiled macro or array density, not 1/bitcell ideal.",False,True,calc_vs_reported_density_delta_23%,2026-05-29,2026-05-29
intel_foundry_intel_18a_p_18a_p_performance_extension_geometry_not_public_034,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
intel_foundry_intel_14a_14a_14a_e_next_gen_ribbonfet_powervia_geometry_not_public_035,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
samsung_foundry_14lpe_14lpp_14lpp_generic_logic_036,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": """"}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. No SRAM bitcell or comparable macro/array density found.,False,True,missing_cpp_ch_and_reported_density,2026-05-29,2026-05-29
samsung_foundry_7lpp_7lpp_public_table_6_75t_h243g54_037,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,243,0,0.0262,112.3064,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB used for formula; source table labels DDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_7lpp_7lpp_exynos_990_observed_3_3_fin_h270g54_038,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,270,0,0.0262,101.0757,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 270.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SA-DB/SDB approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_7lpp_7lpp_snapdragon_765g_observed_2_2_fin_h243g54_039,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,243,0,0.0262,112.3064,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SA-DB/SDB approximation""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
samsung_foundry_6lpp_6lpp_public_table_6_75t_h243g54_040,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,243,0,,112.3064,,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. No SRAM bitcell or comparable macro/array density found.,False,False,,2026-05-29,2026-05-29
samsung_foundry_5lpe_5lpe_public_table_6t_h216g54_041,bohr_stdcell_density_v0_4_1_nand2_3cpp_sff_19cpp_break_extra,54,216,0,0.0262,126.3447,38.1679,,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 216.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262, ""sram_density_compare_mb_mm2"": null, ""diffusion_break_model"": ""SDB""}",Logic density uses Bohr-style 0.6*NAND2 + 0.4*SFF with NAND2=3CPP and SFF=19CPP plus break_extra_cpp. SRAM ideal density is audit-only; compact comparison left blank because no comparable macro/array density was found.,False,True,sram_bitcell_only_no_real_macro_density,2026-05-29,2026-05-29
