record_id,foundry,process_family,process_node_raw,process_node,process_node_normalized,variant_node,structure,release_timing_raw,library_class_raw,library_bucket,library_option_raw,cpp_cgp_nm,cell_height_nm,track_count,fin_or_nanosheet_configuration,diffusion_break_model,break_extra_cpp,logic_density_reported_mtr_mm2,density_basis_raw,density_basis_normalized,density_caveat,sram_bitcell_um2,sram_reported_mb_mm2,sram_type_raw,macro_overhead_assumption,m0_pitch_nm,m1_pitch_nm,m2_pitch_nm,m3_pitch_nm,mx_min_pitch_nm,metal_track_pitch_nm,metal_layers_raw,metal_stack_options_raw,euv_layer_count_raw,beol_source_id,beol_confidence,beol_confidence_bucket,power_performance_claim_raw,packaging_compatibility_raw,geometry_confidence,geometry_confidence_bucket,logic_density_confidence,logic_density_confidence_bucket,sram_confidence,sram_confidence_bucket,yield_confidence,yield_confidence_bucket,overall_confidence,overall_confidence_bucket,confidence_raw,source_id,geometry_source_id,sram_source_id,density_source_id,all_source_ids,geometry_source_level_raw,sram_source_level_raw,density_source_level_raw,beol_notes,notes,created_at,updated_at,sram_density_compare_mb_mm2,sram_density_compare_basis,sram_density_compare_source_id,sram_density_compare_confidence,v0_4_1_update_note,v0_4_2_update_note
tsmc_n3p_n3p_finfet_ppa_optimized_library_not_public_020,TSMC,N3 family,N3P,N3P,N3P,N3P,FinFET,scheduled H2 2024; media reports production began Q4 2024,HD/HP TBD,HP,FinFET PPA optimized; library not public,,,,,,0,224.6,,,224.6 MTr/mm2 is a normalized estimate from N3E reference density times official 1.04X chip-density claim; not a directly published CPP/CH-derived value.,0.021,,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,,,,,23,,,,,src_semianalysis_tsmc_n3_2022,2,low,"Official: N3P vs N3E +5% speed at same leakage, 5-10% power reduction at same speed, 1.04X chip density.",,0,missing,3,medium,1,very_low,0,missing,1,very_low,Low,src_tsmc_finflex_2022,src_tsmc_finflex_2022,src_semianalysis_tsmc_n3_2022,src_tsmc_official_symposium_2023_n3p_n2;src_tomshardware_tsmc_n3p_2025,src_tsmc_finflex_2022;src_semianalysis_tsmc_n3_2022;src_tsmc_official_symposium_2023_n3p_n2;src_tomshardware_tsmc_n3p_2025,Official qualitative only,Borrowed from N3E until public data,Not computed,N3 family public analysis/social leads; exact library-specific metal stack under NDA.,N3P exact public CPP/CH and SRAM macro density not found; keep geometry blank unless reliable reverse-engineering data emerges.,2026-05-21,2026-05-29,,no public N3P SRAM macro/array density found; do not reuse N3E unless explicitly modeling,,0,Added official N3P roadmap/density claim and Q4 2024 media-production note.,
tsmc_n3x_n3x_hpc_x_public_library_not_found_021,TSMC,N3 family,N3X,N3X,N3X,N3X,FinFET,scheduled for volume production in 2025,HPC/X,HPC,HPC/X; public library not found,,,,,,0,224.6,,,Density carried from official same-density-as-N3P statement; not a geometry-based standard-cell density.,,,,,,,,,23,,,,,src_semianalysis_tsmc_n3_2022,2,low,Official: N3X provides +5% speed vs N3P at 1.2V and the same improved chip density as N3P.,,0,missing,3,medium,0,missing,0,missing,1,very_low,Low,src_tsmc_finflex_2022,src_tsmc_finflex_2022,,src_tsmc_official_symposium_2023_n3p_n2,src_tsmc_finflex_2022;src_tsmc_official_symposium_2023_n3p_n2;src_semianalysis_tsmc_n3_2022,Official qualitative only,,Not computed,N3 family public analysis/social leads; exact library-specific metal stack under NDA.,,2026-05-21,2026-05-29,,,,,Added N3X official density/performance context.,
tsmc_n4_n4_hd_h206g49_011,TSMC,N5/N4 family,N4,N4,N4,N4 HD,FinFET,,HD,HD,H206g49,49,206,,,SDB/CPODE,0,146,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.021,31.8,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,,,3,medium,3,medium,3,medium,0,missing,3,medium,Medium,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,Media analysis,media compilation,Formula/media analysis,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,SRAM compact comparison switched from bitcell ideal to reported/compiled macro-equivalent density.,
tsmc_n4_n4_hp_h274g55_012,TSMC,N5/N4 family,N4,N4,N4,N4 HP,FinFET,,HP,HP,H274g55,55,274,,,SDB/CPODE,0,94,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.025,26.7,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,,,3,medium,3,medium,2,low,0,missing,3,medium,Medium,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,Media analysis,media compilation,Formula/media analysis,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,26.7,reported/compiled HP/HC SRAM density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,2,Uses low-confidence public compiled HP/HC SRAM density instead of ideal bitcell density.,
tsmc_n4c_n4c_cost_optimized_cost_optimized_public_library_not_found_015,TSMC,N5/N4 family,N4C,N4C,N4C,N4C cost-optimized,FinFET,risk/availability around 2025 per public media reports,Cost-optimized,cost-optimized,Cost-optimized; public library not found,,,,,,0,,,,No public CPP/CH or numeric SRAM macro density found; do not infer density without a source.,,,,,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,N4C lowers cost by reducing masks and redesigning standard-cell and SRAM-cell IP; up to 8.5% product-level cost reduction reported.,,0,missing,1,very_low,0,missing,0,missing,1,very_low,Low,src_tomshardware_tsmc_n4c_2024,src_tsmc_official_n7_n6,,src_tomshardware_tsmc_n4c_2024,src_tsmc_official_n7_n6;src_tomshardware_tsmc_n4c_2024;src_semianalysis_tsmc_n3_2022,Official qualitative only,,Not computed,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,,,,,Added N4C source and cost/SRAM-redesign context; geometry and SRAM density intentionally left blank.,
tsmc_n4p_n4p_hd_assumed_n4_compatible_hd_geometry_013,TSMC,N5/N4 family,N4P,N4P,N4P,N4P HD,FinFET,,HD / process optimization,HD,assumed N4-compatible HD geometry,49,206,,,SDB/CPODE,0,146,,,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.021,31.8,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,"Official: N4P +11% performance vs N5, +6% vs N4, +22% power efficiency and +6% transistor density vs N5.",,2,low,3,medium,3,medium,0,missing,2,low,Medium-Low,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_tsmc_official_n4p_2021,src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024;src_tsmc_official_n4p_2021,Derived from N4,media compilation,official relative claim + normalized estimate,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,N4P exact CPP/CH not publicly isolated; geometry kept as N4-compatible assumption. Reported density normalized from N5 HD baseline using official +6% transistor-density claim.,2026-05-21,2026-05-29,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,SRAM compact comparison switched from bitcell ideal to reported/compiled macro-equivalent density.,
tsmc_n4p_n4p_hp_assumed_n4_hp_geometry_071b,TSMC,N5/N4 family,N4P,N4P,N4P,N4P HP,FinFET,,High Performance / assumed N4 HP-compatible,HP,assumed N4-compatible HP geometry / H274g55,55,274,,,SDB/CPODE,0,100,million transistors per mm²,MTr/mm2,HP row is an engineering estimate using N4 HP geometry and official +6% N4P-vs-N5 density context; not a directly published library.,0.025,26.7,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,,,3,medium,2,low,2,low,0,missing,3,medium,Medium,src_tsmc_official_n4p_2021,src_semianalysis_tsmc_n3_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_tsmc_official_n4p_2021,src_semianalysis_tsmc_n3_2022;src_tsmc_official_n4p_2021;src_tomshardware_tsmc_n2_intel18a_sram_2024,Media analysis,media compilation,Formula/media analysis,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,"Added in v0.4.1 to cover missing N4P HP-style row; geometry inherits public N4 HP analysis, not official PDK.",2026-05-29,2026-05-29,26.7,reported/compiled HP/HC SRAM density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,2,New v0.4.1 row for N4P HP-style comparison; treat as low-confidence estimate.,
tsmc_n4x_n4x_hpc_hpc_beol_stack_optimized_library_not_public_014,TSMC,N5/N4 family,N4X,N4X,N4X,N4X HPC,FinFET,volume production 2024 / HPC-focused N4 derivative,HPC / X,HPC,HPC BEOL stack optimized; library not public,,,,,,0,,,,No reliable public CPP+CH or reported logic density available.,,,,,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,N4X is performance/HPC-focused N4 family variant; public sources emphasize BEOL/RC and voltage/performance optimization rather than CPP/CH.,,0,missing,0,missing,0,missing,0,missing,1,very_low,Low,src_semianalysis_tsmc_n3_2022,src_semianalysis_tsmc_n3_2022,,,src_semianalysis_tsmc_n3_2022,Official/media qualitative only,,Not computed,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,,,,,Kept geometry blank because no public library CPP/CH found.,
tsmc_n5_n5_hd_6t_h210g51_008,TSMC,N5/N4 family,N5,N5,N5,N5 HD,FinFET,N5 family volume era 2020; N4/N4P later N5-compatible derivatives,HD,HD,6T / H210g51,51,210,6,,SDB/CNOD,0,137.6,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.021,31.8,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,,,4,high,4,high,3,medium,0,missing,4,high,Medium-High,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022;src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,Media reverse-engineering/analysis,media compilation,Formula/media analysis,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,SRAM compact comparison switched from bitcell ideal to reported/compiled macro-equivalent density.,
tsmc_n5_n5_hp_h280g57_3_fin_class_009,TSMC,N5/N4 family,N5,N5,N5,N5 HP,FinFET,N5 family volume era 2020; N4/N4P later N5-compatible derivatives,HP,HP,H280g57 / 3-fin-class,57,280,,3-fin,SDB/CNOD,0,92.3,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.025,26.7,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,,,3,medium,3,medium,2,low,0,missing,3,medium,Medium,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022;src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,Media reverse-engineering/analysis,media compilation,Formula/media analysis,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,26.7,reported/compiled HP/HC SRAM density; not bitcell ideal,src_tomshardware_tsmc_n2_intel18a_sram_2024,2,Uses low-confidence public compiled HP/HC SRAM density instead of ideal bitcell density.,
tsmc_n5p_n5p_hd_n5_compatible_process_optimization_010,TSMC,N5/N4 family,N5P,N5P,N5P,N5P HD,FinFET,N5 family volume era 2020; N4/N4P later N5-compatible derivatives,HD / process optimization,HD,N5-compatible process optimization,51,210,,,SDB/CNOD,0,137.6,million transistors per mm²,MTr/mm2,"Calculated logic density uses Bohr/Intel-style standard-cell metric only; excludes SRAM, IO, analog and macro overhead.",0.021,31.8,6T / HD unless source says otherwise,blank: bitcell-only ideal density calculated separately; no macro overhead applied,28,,35,,28,,,,,src_semianalysis_tsmc_n3_2022,3,medium,,,2,low,2,low,3,medium,0,missing,2,low,Medium-Low,src_angstronomics_tsmc_5nm_2022,src_semianalysis_tsmc_n3_2022,src_tomshardware_tsmc_n2_intel18a_sram_2024,src_angstronomics_tsmc_5nm_2022,src_angstronomics_tsmc_5nm_2022;src_semianalysis_tsmc_n3_2022;src_tomshardware_tsmc_n2_intel18a_sram_2024,Derived from N5; media notes IP-compatible,media compilation,Formula / derived,M0/M2 from public analysis; N4X officially emphasizes optimized BEOL but exact stack not public.,,2026-05-21,2026-05-29,31.8,reported/compiled macro-equivalent SRAM density used for comparison; bitcell ideal kept only in derived_metrics,src_tomshardware_tsmc_n2_intel18a_sram_2024,3,SRAM compact comparison switched from bitcell ideal to reported/compiled macro-equivalent density.,
