record_id,formula_version,cpp_cgp_nm,cell_height_nm,break_extra_cpp,sram_bitcell_um2,logic_density_calculated_mtr_mm2,sram_ideal_mb_mm2,calculation_inputs,assumption_note,is_estimated,review_required,review_reason,created_at,updated_at
tsmc_a16_a16_nanosheet_super_power_rail_geometry_not_public_024,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
intel_foundry_intel_14nm_14nm_14nm_7_67t_dense_logic_025,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,70,399,1,0.0588,44.3967,17.0068,"{""cpp_cgp_nm"": 70.0, ""cell_height_nm"": 399.0, ""break_extra_cpp"": 1.0, ""sram_bitcell_um2"": 0.0588}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
intel_foundry_intel_10nm_intel_10nm_hd_h272g54_class_026,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,272,0,0.0312,100.3325,32.0513,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 272.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0312}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
intel_foundry_intel_7_intel_7_hp_observed_h408g60_027,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,60,408,0,,60.1995,,"{""cpp_cgp_nm"": 60.0, ""cell_height_nm"": 408.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP.,False,False,,2026-05-21,2026-05-21
intel_foundry_intel_7_intel_7_dense_library_available_h272g54_dense_cell_not_necessarily_u_028,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,272,0,,100.3325,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 272.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP.,True,False,,2026-05-21,2026-05-21
intel_foundry_intel_4_intel_4_hp_h240g50_029,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,50,240,0,0.024,122.807,41.6667,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.024}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
intel_foundry_intel_3_intel_3_hp_h240g50_030,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,50,240,0,0.024,122.807,41.6667,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 240.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.024}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
intel_foundry_intel_3_intel_3_hd_h210g50_031,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,50,210,0,0.024,140.3509,41.6667,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 210.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.024}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
intel_foundry_intel_18a_18a_hp_180ch_hp_library_032,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,50,180,0,0.023,163.7427,43.4783,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 180.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.023}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
intel_foundry_intel_18a_18a_hd_160ch_hd_library_033,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,50,160,0,0.021,184.2105,47.619,"{""cpp_cgp_nm"": 50.0, ""cell_height_nm"": 160.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.021}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
intel_foundry_intel_18a_p_18a_p_performance_extension_geometry_not_public_034,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
intel_foundry_intel_14a_14a_14a_e_next_gen_ribbonfet_powervia_geometry_not_public_035,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
samsung_foundry_14lpe_14lpp_14lpp_generic_logic_036,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
samsung_foundry_7lpp_7lpp_public_table_6_75t_h243g54_037,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,243,0,0.0262,112.3064,38.1679,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
samsung_foundry_7lpp_7lpp_exynos_990_observed_3_3_fin_h270g54_038,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,270,0,0.0262,101.0757,38.1679,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 270.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
samsung_foundry_7lpp_7lpp_snapdragon_765g_observed_2_2_fin_h243g54_039,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,243,0,0.0262,112.3064,38.1679,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
samsung_foundry_6lpp_6lpp_public_table_6_75t_h243g54_040,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,243,0,,112.3064,,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 243.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP.,False,False,,2026-05-21,2026-05-21
samsung_foundry_5lpe_5lpe_public_table_6t_h216g54_041,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,216,0,0.0262,126.3447,38.1679,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 216.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
samsung_foundry_5lpp_5lpp_sf5_public_library_not_isolated_042,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,0.0262,,38.1679,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
samsung_foundry_4lpe_sf4e_4lpe_public_table_6_25t_h200g54_043,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,200,0,0.0262,136.4522,38.1679,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 200.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.0262}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,False,False,,2026-05-21,2026-05-21
samsung_foundry_sf4_sf4_hdc_media_estimate_hdc_library_bitcell_estimate_044,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,54,200,0,0.023,136.4522,43.4783,"{""cpp_cgp_nm"": 54.0, ""cell_height_nm"": 200.0, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": 0.023}",Logic density = 0.6*NAND2 + 0.4*SFF; NAND2 has 4 transistors and width (3+break_extra_cpp)*CPP; SFF has 32 transistors and width (19+break_extra_cpp)*CPP. SRAM ideal density is bitcell-only 1/sram_bitcell_um2; no macro overhead applied.,True,False,,2026-05-21,2026-05-21
samsung_foundry_sf4p_sf4p_public_geometry_not_isolated_045,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
samsung_foundry_sf4x_sf4x_hpc_beol_optimized_geometry_not_public_046,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
samsung_foundry_3gae_3gae_1st_gen_mbcfet_public_relative_only_047,bohr_stdcell_density_v0_4_nand2_3cpp_sff_19cpp_break_extra,,,0,,,,"{""cpp_cgp_nm"": null, ""cell_height_nm"": null, ""break_extra_cpp"": 0.0, ""sram_bitcell_um2"": null}",Logic density not calculated because cpp_cgp_nm or cell_height_nm is missing. diffusion_break_model missing; break_extra_cpp defaults to 0 for formula unless explicit source exists.,False,True,missing_cpp_ch_and_reported_density,2026-05-21,2026-05-21
